iter	Passed	Remaining
0	1	1752
1	2	1400
2	3	1181
3	4	1062
4	5	1056
5	6	1008
6	6	965
7	7	936
8	8	914
9	9	895
10	9	880
11	10	868
12	12	949
13	14	1052
14	15	1033
15	16	1014
16	22	1325
17	23	1305
18	24	1269
19	25	1242
20	29	1363
21	30	1377
22	33	1403
23	33	1380
24	34	1354
25	46	1738
26	47	1725
27	48	1689
28	49	1654
29	50	1622
30	50	1588
31	51	1560
32	53	1556
33	53	1531
34	55	1538
35	56	1512
36	57	1488
37	57	1466
38	58	1440
39	59	1420
40	59	1401
41	60	1383
42	61	1366
43	62	1350
44	62	1335
45	71	1474
46	72	1460
47	72	1444
48	74	1437
49	74	1420
50	77	1443
51	81	1491
52	83	1485
53	85	1492
54	86	1481
55	87	1472
56	88	1468
57	90	1462
58	91	1456
59	92	1450
60	93	1440
61	94	1427
62	94	1412
63	95	1402
64	96	1389
65	97	1377
66	98	1368
67	99	1364
68	100	1355
69	101	1344
70	101	1332
71	102	1320
72	103	1310
73	103	1301
74	104	1289
75	105	1280
76	105	1269
77	106	1258
78	106	1246
79	107	1236
80	108	1227
81	108	1217
82	109	1208
83	109	1198
84	110	1189
85	111	1181
86	111	1174
87	112	1169
88	113	1161
89	114	1153
90	114	1146
91	115	1141
92	116	1135
93	117	1130
94	118	1124
95	118	1117
96	119	1112
97	120	1111
98	121	1103
99	121	1097
100	122	1090
101	123	1085
102	123	1078
103	124	1072
104	124	1064
105	125	1059
106	126	1053
107	126	1048
108	127	1042
109	128	1036
110	128	1032
111	129	1028
112	130	1023
113	131	1020
114	132	1015
115	132	1010
116	133	1005
117	133	1001
118	134	996
119	135	991
120	135	986
121	136	981
122	136	976
123	137	971
124	138	966
125	138	962
126	139	958
127	140	953
128	140	949
129	141	944
130	141	940
131	142	935
132	142	931
133	143	929
134	144	924
135	144	919
136	145	916
137	146	912
138	146	909
139	147	906
140	148	902
141	148	899
142	149	895
143	150	892
144	150	889
145	151	885
146	152	882
147	152	878
148	153	874
149	153	871
150	154	868
151	154	864
152	155	860
153	155	856
154	156	852
155	156	849
156	157	846
157	158	842
158	158	839
159	159	836
160	159	833
161	160	830
162	161	826
163	161	823
164	162	820
165	162	817
166	163	814
167	163	811
168	164	809
169	165	806
170	165	802
171	166	799
172	166	796
173	167	793
174	167	790
175	168	787
176	168	784
177	169	781
178	169	778
179	170	775
180	170	772
181	171	769
182	172	768
183	172	764
184	172	761
185	173	758
186	173	755
187	174	752
188	174	749
189	175	746
190	175	743
191	175	740
192	176	736
193	176	733
194	176	730
195	177	727
196	177	724
197	178	721
198	178	719
199	179	717
200	179	714
201	180	712
202	180	709
203	181	707
204	181	704
205	182	702
206	182	700
207	183	697
208	183	694
209	184	692
210	184	689
211	185	687
212	185	685
213	185	683
214	186	680
215	186	678
216	187	675
217	187	673
218	188	670
219	188	668
220	188	665
221	189	663
222	189	661
223	190	659
224	190	657
225	191	654
226	191	652
227	192	651
228	193	650
229	193	649
230	194	647
231	194	645
232	195	642
233	195	640
234	196	638
235	196	636
236	197	634
237	197	632
238	198	630
239	198	628
240	199	626
241	199	624
242	199	622
243	200	620
244	200	618
245	201	616
246	201	615
247	202	613
248	202	611
249	203	609
250	203	607
251	203	605
252	204	603
253	204	601
254	205	600
255	205	598
256	206	596
257	206	594
258	207	593
259	207	591
260	208	590
261	209	588
262	209	587
263	210	585
264	210	583
265	211	583
266	212	583
267	213	581
268	213	580
269	213	578
270	214	576
271	214	574
272	215	572
273	215	571
274	216	569
275	216	567
276	216	566
277	217	564
278	217	563
279	218	561
280	218	559
281	219	558
282	219	556
283	220	555
284	220	553
285	221	551
286	221	550
287	222	549
288	222	547
289	223	547
290	224	546
291	224	544
292	225	543
293	225	542
294	226	540
295	226	539
296	227	537
297	227	536
298	228	535
299	228	533
300	229	532
301	229	530
302	230	529
303	230	527
304	231	526
305	231	524
306	231	523
307	232	522
308	232	520
309	233	519
310	233	517
311	234	516
312	234	514
313	235	513
314	235	512
315	235	510
316	236	509
317	236	507
318	237	506
319	237	505
320	238	503
321	238	502
322	238	500
323	239	499
324	239	498
325	240	496
326	240	495
327	241	494
328	241	492
329	242	491
330	242	490
331	243	489
332	243	488
333	244	486
334	244	485
335	245	484
336	245	483
337	245	481
338	246	480
339	247	479
340	247	478
341	248	477
342	248	476
343	249	475
344	249	474
345	250	473
346	250	472
347	251	471
348	251	469
349	252	468
350	252	467
351	253	466
352	253	465
353	254	463
354	254	462
355	255	461
356	255	460
357	255	458
358	256	457
359	256	456
360	257	455
361	257	454
362	258	452
363	258	451
364	259	450
365	259	449
366	260	448
367	260	447
368	261	446
369	261	445
370	262	444
371	262	443
372	263	442
373	263	441
374	263	439
375	264	438
376	264	437
377	265	436
378	265	435
379	266	434
380	266	433
381	267	432
382	267	431
383	268	430
384	268	428
385	268	427
386	269	426
387	269	425
388	270	424
389	270	423
390	271	422
391	271	421
392	272	420
393	272	419
394	273	418
395	273	417
396	273	416
397	274	415
398	275	414
399	275	413
400	276	412
401	276	411
402	277	410
403	277	409
404	278	408
405	278	407
406	279	406
407	279	405
408	279	404
409	280	403
410	280	402
411	281	401
412	281	400
413	282	399
414	282	398
415	282	397
416	283	396
417	283	395
418	284	394
419	284	393
420	285	392
421	285	391
422	286	390
423	286	389
424	287	389
425	288	388
426	288	387
427	289	386
428	289	385
429	290	384
430	290	383
431	290	382
432	291	381
433	291	380
434	292	379
435	292	378
436	293	377
437	293	376
438	294	376
439	294	375
440	295	374
441	295	373
442	296	372
443	296	371
444	296	370
445	297	369
446	297	368
447	298	367
448	298	366
449	299	365
450	299	364
451	299	363
452	300	362
453	300	361
454	301	360
455	301	359
456	302	359
457	302	358
458	303	357
459	303	356
460	304	355
461	304	354
462	305	353
463	305	352
464	305	352
465	306	351
466	306	350
467	307	349
468	307	348
469	308	347
470	308	346
471	309	345
472	309	344
473	309	343
474	310	343
475	310	342
476	311	341
477	311	340
478	312	339
479	312	338
480	313	337
481	313	337
482	314	336
483	314	335
484	314	334
485	315	333
486	315	332
487	316	331
488	316	330
489	317	330
490	317	329
491	317	328
492	318	327
493	318	326
494	319	325
495	319	324
496	320	323
497	320	323
498	320	322
499	321	321
500	321	320
501	322	319
502	322	318
503	323	318
504	323	317
505	324	316
506	324	315
507	324	314
508	325	313
509	325	313
510	326	312
511	326	311
512	327	310
513	327	309
514	328	308
515	328	308
516	328	307
517	329	306
518	329	305
519	330	304
520	330	304
521	331	303
522	331	302
523	332	301
524	332	300
525	333	300
526	333	299
527	334	298
528	334	298
529	335	297
530	335	296
531	336	295
532	336	294
533	337	294
534	337	293
535	338	292
536	338	291
537	339	291
538	339	290
539	339	289
540	340	288
541	340	287
542	341	287
543	341	286
544	342	285
545	342	284
546	343	284
547	343	283
548	344	282
549	344	281
550	345	281
551	345	280
552	346	279
553	346	278
554	346	278
555	347	277
556	347	276
557	348	275
558	348	275
559	349	274
560	349	273
561	349	272
562	350	272
563	350	271
564	351	270
565	351	269
566	352	269
567	352	268
568	353	267
569	353	266
570	353	265
571	354	265
572	354	264
573	355	263
574	355	262
575	356	262
576	356	261
577	357	260
578	357	259
579	357	259
580	358	258
581	358	257
582	359	256
583	359	256
584	360	255
585	360	254
586	360	253
587	361	253
588	361	252
589	362	251
590	362	250
591	363	250
592	363	249
593	363	248
594	364	247
595	364	247
596	365	246
597	365	245
598	366	245
599	366	244
600	367	243
601	367	243
602	368	242
603	368	241
604	369	241
605	369	240
606	370	239
607	370	238
608	371	238
609	372	238
610	372	237
611	373	236
612	374	236
613	374	235
614	375	234
615	375	234
616	376	233
617	376	232
618	377	232
619	377	231
620	378	230
621	378	229
622	378	229
623	379	228
624	379	227
625	380	227
626	380	226
627	381	225
628	381	225
629	382	224
630	382	223
631	382	223
632	383	222
633	383	221
634	384	221
635	385	220
636	386	220
637	387	219
638	387	219
639	388	218
640	388	217
641	388	216
642	389	216
643	389	215
644	390	214
645	390	214
646	391	213
647	391	212
648	392	212
649	392	211
650	393	210
651	393	210
652	394	209
653	394	208
654	395	208
655	395	207
656	396	206
657	396	206
658	396	205
659	397	204
660	398	204
661	398	203
662	399	202
663	399	202
664	400	201
665	400	201
666	401	200
667	401	199
668	402	199
669	402	198
670	403	197
671	403	197
672	404	196
673	404	195
674	405	195
675	405	194
676	406	193
677	406	193
678	407	192
679	407	191
680	408	191
681	408	190
682	409	189
683	409	189
684	410	188
685	410	188
686	411	187
687	411	186
688	412	186
689	412	185
690	413	184
691	413	184
692	413	183
693	414	182
694	414	182
695	415	181
696	415	180
697	416	180
698	416	179
699	417	178
700	417	178
701	418	177
702	418	176
703	419	176
704	419	175
705	420	174
706	420	174
707	421	173
708	421	173
709	422	172
710	422	171
711	422	171
712	423	170
713	423	169
714	424	169
715	424	168
716	425	167
717	425	167
718	426	166
719	426	165
720	427	165
721	427	164
722	427	163
723	428	163
724	428	162
725	429	162
726	429	161
727	430	160
728	430	160
729	431	159
730	431	158
731	432	158
732	432	157
733	433	156
734	433	156
735	434	155
736	434	155
737	434	154
738	435	153
739	435	153
740	436	152
741	436	151
742	437	151
743	437	150
744	438	149
745	438	149
746	438	148
747	439	148
748	440	147
749	440	146
750	440	146
751	441	145
752	441	144
753	442	144
754	442	143
755	443	142
756	443	142
757	443	141
758	444	141
759	444	140
760	445	139
761	445	139
762	446	138
763	446	137
764	446	137
765	447	136
766	447	136
767	448	135
768	448	134
769	449	134
770	449	133
771	450	132
772	450	132
773	451	131
774	451	131
775	452	130
776	452	129
777	453	129
778	453	128
779	454	128
780	454	127
781	454	126
782	455	126
783	455	125
784	456	124
785	456	124
786	457	123
787	457	123
788	457	122
789	458	121
